"Região.x";"Porte.x";"Total";"Estatutários";"CLT";"Comissionados";"Sem vínculo permanente";"Sem instrução";"Ensino fundamental";"Ensino médio";"Ensino superior";"Pós-graduação"
"Brasil";"1 - Até 5000";21153;2990;628;1240;16295;1559;1993;8322;8110;1169
"Brasil";"2 - 5001 até 10000";23580;3169;781;1285;18345;1547;2078;9284;9418;1253
"Brasil";"3 - 10001 até 20000";32922;4809;1178;2005;24930;1902;2634;13369;13166;1851
"Brasil";"4 - 20001 até 50000";38461;6690;1988;2585;27198;1862;3092;14900;16310;2297
"Brasil";"5 - 50001 até 100000";19345;4536;956;1066;12787;1032;1600;7237;8151;1325
"Brasil";"6 - 100001 até 500000";33221;10685;2543;2030;17963;1591;2751;12282;13864;2733
"Brasil";"7 - Maior que 500000";21277;8306;1756;886;10329;1143;1867;8717;7860;1690
"1 - Norte";"1 - Até 5000";1527;266;28;133;1100;113;143;634;600;37
"1 - Norte";"2 - 5001 até 10000";1595;225;39;131;1200;79;129;688;637;62
"1 - Norte";"3 - 10001 até 20000";2703;394;92;231;1986;200;237;1270;916;80
"1 - Norte";"4 - 20001 até 50000";3517;548;104;237;2628;227;331;1556;1284;119
"1 - Norte";"5 - 50001 até 100000";2197;474;41;122;1560;206;222;1016;693;60
"1 - Norte";"6 - 100001 até 500000";3809;1203;108;409;2089;208;350;1697;1342;212
"1 - Norte";"7 - Maior que 500000";1383;818;220;53;292;57;92;654;402;178
"2 - Nordeste";"1 - Até 5000";3970;437;79;303;3151;222;341;1763;1451;193
"2 - Nordeste";"2 - 5001 até 10000";6985;729;132;375;5749;406;575;3186;2426;392
"2 - Nordeste";"3 - 10001 até 20000";13426;1419;279;705;11023;773;1053;6160;4775;665
"2 - Nordeste";"4 - 20001 até 50000";14955;1743;407;887;11918;663;1125;6447;5923;797
"2 - Nordeste";"5 - 50001 até 100000";6404;812;215;333;5044;326;478;2580;2631;389
"2 - Nordeste";"6 - 100001 até 500000";5770;815;262;265;4428;300;458;2375;2196;441
"2 - Nordeste";"7 - Maior que 500000";5051;1213;236;320;3282;269;390;2094;1886;412
"3 - Sudeste";"1 - Até 5000";5788;732;251;224;4581;437;536;2243;2381;191
"3 - Sudeste";"2 - 5001 até 10000";7101;790;411;280;5620;526;642;2631;3051;251
"3 - Sudeste";"3 - 10001 até 20000";8143;1138;523;444;6038;442;640;2945;3740;376
"3 - Sudeste";"4 - 20001 até 50000";11238;1958;1105;756;7419;562;865;4007;5260;544
"3 - Sudeste";"5 - 50001 até 100000";6263;1453;547;329;3934;302;513;2090;2987;371
"3 - Sudeste";"6 - 100001 até 500000";15655;5059;1596;823;8177;718;1219;5466;7179;1073
"3 - Sudeste";"7 - Maior que 500000";8248;2721;1152;276;4099;477;745;3230;3204;592
"4 - Sul";"1 - Até 5000";7208;1204;182;344;5478;644;726;2501;2697;640
"4 - Sul";"2 - 5001 até 10000";5387;1001;140;296;3950;396;496;1786;2264;445
"4 - Sul";"3 - 10001 até 20000";5639;1196;223;318;3902;313;446;1867;2429;584
"4 - Sul";"4 - 20001 até 50000";5692;1647;301;390;3354;245;513;1815;2502;617
"4 - Sul";"5 - 50001 até 100000";3355;1461;109;138;1647;141;281;1144;1350;439
"4 - Sul";"6 - 100001 até 500000";6624;3301;547;222;2554;287;593;2246;2584;914
"4 - Sul";"7 - Maior que 500000";3086;1687;82;11;1306;157;265;1237;1105;322
"5 - Centro-Oeste";"1 - Até 5000";2660;351;88;236;1985;143;247;1181;981;108
"5 - Centro-Oeste";"2 - 5001 até 10000";2512;424;59;203;1826;140;236;993;1040;103
"5 - Centro-Oeste";"3 - 10001 até 20000";3011;662;61;307;1981;174;258;1127;1306;146
"5 - Centro-Oeste";"4 - 20001 até 50000";3059;794;71;315;1879;165;258;1075;1341;220
"5 - Centro-Oeste";"5 - 50001 até 100000";1126;336;44;144;602;57;106;407;490;66
"5 - Centro-Oeste";"6 - 100001 até 500000";1363;307;30;311;715;78;131;498;563;93
"5 - Centro-Oeste";"7 - Maior que 500000";3509;1867;66;226;1350;183;375;1502;1263;186
NA;NA;189959;NA;NA;NA;NA;NA;NA;NA;NA;NA
