;;;Vínculo;;;;Escolaridade;;;;
Região;Porte*;Total;Estatutários;CLT;Comissionados;Sem vínculo permanente;Sem instrução;Ensino fundamental;Ensino médio;Ensino superior;Pós-graduação
Brasil;Total;229313;83410;65200;22554;287462;31704;46950;183212;169824;26936
Brasil;1 - Até 5000;21345;3000;670;1255;16420;1607;2031;8388;8147;1172
Brasil;2 - 5001 até 10000;24206;3207;1084;1303;18612;1700;2216;9489;9539;1262
Brasil;3 - 10001 até 20000;35208;4883;2368;2021;25936;2395;3068;14281;13573;1891
Brasil;4 - 20001 até 50000;43675;6807;4793;2615;29460;2759;4186;16955;17336;2439
Brasil;5 - 50001 até 100000;23718;4601;3513;1091;14513;1691;2608;8965;9028;1426
Brasil;6 - 100001 até 500000;46780;10879;10489;2064;23348;3218;5315;18587;16566;3094
Brasil;7 - Maior que 500000;34381;8328;9683;928;15442;2482;4051;14941;10723;2184
1 - Norte;1 - Até 5000;1527;266;28;133;1100;113;143;634;600;37
1 - Norte;2 - 5001 até 10000;1596;225;40;131;1200;79;129;689;637;62
1 - Norte;3 - 10001 até 20000;2709;394;92;231;1992;205;237;1271;916;80
1 - Norte;4 - 20001 até 50000;3529;548;104;237;2640;227;333;1561;1289;119
1 - Norte;5 - 50001 até 100000;2264;477;61;123;1603;224;229;1042;709;60
1 - Norte;6 - 100001 até 500000;3942;1226;155;410;2151;220;367;1765;1376;214
1 - Norte;7 - Maior que 500000;1576;823;284;53;416;85;114;725;456;196
2 - Nordeste;1 - Até 5000;3970;437;79;303;3151;222;341;1763;1451;193
2 - Nordeste;2 - 5001 até 10000;7002;739;132;375;5756;414;578;3190;2428;392
2 - Nordeste;3 - 10001 até 20000;13512;1421;297;707;11087;794;1065;6199;4788;666
2 - Nordeste;4 - 20001 até 50000;15199;1752;434;888;12125;716;1172;6558;5954;799
2 - Nordeste;5 - 50001 até 100000;6793;830;347;337;5279;411;569;2727;2691;395
2 - Nordeste;6 - 100001 até 500000;6509;832;498;278;4901;393;604;2740;2310;462
2 - Nordeste;7 - Maior que 500000;6487;1216;1102;326;3843;433;618;2768;2193;475
3 - Sudeste;1 - Até 5000;5900;732;277;225;4666;468;559;2276;2405;192
3 - Sudeste;2 - 5001 até 10000;7567;805;655;292;5815;636;747;2793;3133;258
3 - Sudeste;3 - 10001 até 20000;9753;1173;1384;449;6747;768;932;3612;4043;398
3 - Sudeste;4 - 20001 até 50000;14632;1993;3080;763;8796;1117;1570;5351;5953;641
3 - Sudeste;5 - 50001 até 100000;9305;1487;2370;343;5105;724;1175;3378;3607;421
3 - Sudeste;6 - 100001 até 500000;25153;5172;7426;840;11715;1816;3024;10027;9018;1268
3 - Sudeste;7 - Maior que 500000;16559;2724;6301;280;7254;1277;2152;7376;4929;825
4 - Sul;1 - Até 5000;7264;1206;198;358;5502;661;738;2521;2704;640
4 - Sul;2 - 5001 até 10000;5494;1011;171;302;4010;417;517;1817;2296;447
4 - Sul;3 - 10001 até 20000;6046;1215;425;319;4087;399;533;2019;2497;598
4 - Sul;4 - 20001 até 50000;6770;1672;928;395;3775;412;744;2252;2706;656
4 - Sul;5 - 50001 até 100000;4075;1470;589;144;1872;246;482;1366;1501;480
4 - Sul;6 - 100001 até 500000;9574;3341;2237;225;3771;663;1135;3466;3264;1046
4 - Sul;7 - Maior que 500000;4892;1687;801;11;2393;312;601;1998;1518;463
5 - Centro-Oeste;1 - Até 5000;2684;359;88;236;2001;143;250;1194;987;110
5 - Centro-Oeste;2 - 5001 até 10000;2547;427;86;203;1831;154;245;1000;1045;103
5 - Centro-Oeste;3 - 10001 até 20000;3188;680;170;315;2023;229;301;1180;1329;149
5 - Centro-Oeste;4 - 20001 até 50000;3545;842;247;332;2124;287;367;1233;1434;224
5 - Centro-Oeste;5 - 50001 até 100000;1281;337;146;144;654;86;153;452;520;70
5 - Centro-Oeste;6 - 100001 até 500000;1602;308;173;311;810;126;185;589;598;104
5 - Centro-Oeste;7 - Maior que 500000;4867;1878;1195;258;1536;375;566;2074;1627;225
;;;;;;;;;;;
Fonte: Censo SUAS 2013, MDS;;;;;;;;;;;
*Trabalhadores de conselhos estaduais não foram contabilizados pois na base do censo referente à esse equipamento não havia a informação do município;;;;;;;;;;;
